run_id,condition,jspsych_start_time,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,user_agent,inner_width,inner_height,load_time,success,response_type,key_press,avg_frame_time,center_x,center_y,webgazer_data,webgazer_targets,rastocCategory,trialId,cueWasShownAtLeft,experimentName,starTs,finishTs,intraTrialBlankDuration,fixationDuration,interTrialBlankDuration,cueDuration,cueXDistance,events,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
54,1,2022-03-02T19:48:08.342Z,events-tracking-start,0,2,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",html-button-response,1,32108,0.0-1.0,32101,"
    <div style=""text-align: left;"">
      <p>
        Bienvenidx a esta primera instancia de experimentación, gracias por
        participar c:
      </p>
      <p>
        En este experimento vas a realizar la tarea de antisacadas. Va a tomar
        aproximadamente 10 minutos. Es entonces importante que <b>te sientes
        cómodx</b>. Si estás con una notebook sentate tal que puedas estar en
        la misma posición durante unos minutos. 
      </p>
    </div>
    ",0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",1440,686,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",survey-html-form,2,176443,0.0-2.0,144326,"""","{""edad"":""25"",""anteojos"":""no"",""hardware"":""16 GB ram. Y la placa de video es Intel Iris Plus Graphics 1536 MB. Es una macbookpro del trabajo.""}","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",webgazer-init-camera,3,216000,0.0-3.0,"""","""","""","""","""","""",9939,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",fullscreen,4,282850,0.0-4.0,"""","""","""","""","""","""","""",true,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",html-button-response,5,306641,0.0-5.0,23788,"
    <div style=""text-align: left"">
      <h3>Calibración</h3>
      <p>
        El sistema en cuestión requiere ser inicialmente calibrado para
        poder estimar la mirada. Además, cada vez que detectemos demasiado
        movimiento procederemos a recalibrar. Tené en cuenta que <b>rotar
        la cabeza también cuenta como movimiento</b>. Idealmente durante
        los experimentos tendrías que estar <b>moviendo únicamente tus
        ojos</b>.
      </p>
      <p>
        La calibración consiste en fijar la mirada en <span style=""color:
        blue; font-weight: bold;"">círculos azules</span> que van a aparecer
        en la pantalla.
        <br>
        Cada vez que aparezca uno tenés que
      </p>
      <ol>
        <li>fijar la mirada en él</li>
        <li>presionar la <b>barra de espacio</b></li>
      </ol>
      <p>
        En el próximo paso realizarás la calibración inicial.
        <br>
        Si más adelante detectamos demasiado movimiento entoces te vamos a
        avisar así recalibramos el sistema.
      </p>
    </div>
    ",0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",html-button-response,6,319633,0.0-6.0-0.0,12990,"
      <h3>
        Calibración lado a lado
      </h3>
      <p>
        En la próxima pantalla van a ir apareciendo puntos azules. Cada vez que
        aparezca uno, fijá la mirada en él y presiona la barra de espacio.
      </p>
      ",0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",psychophysics,7,322251,0.0-6.0-1.0-0.0,2189,""""," ","""","""","""","""","""",key," ",16.773522580645214,720,446,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",psychophysics,8,324885,0.0-6.0-1.1-0.1,2223,""""," ","""","""","""","""","""",key," ",16.881045161290544,720,446,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
54,1,"""",psychophysics,9,328296,0.0-6.0-1.2-0.2,3000,""""," ","""","""","""","""","""",key," ",16.748098522167496,720,446,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-02 19:48:05",181.84.123.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",Macintosh,Chrome,98.0.4758.109,"OS X",10_15_7,cf8443dbe4c9d72e45e6cc2a72c40e11
