"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","hash","success","timeout","failed_images","failed_audio","failed_video","jspsych_start_time","load_time","response_type","key_press","avg_frame_time","center_x","center_y","rastoc-type","stimulus-coordinate","calibration-id","calibration-point-id","inner-width","inner-height","webgazer_data","webgazer_targets","validation-id","validation-point-id","last-estimations","validation-results","isSaccadeExperiment","typeOfSaccade","isTutorial","cueShownAtLeft","itiEnd","fixEnd","intraEnd","visualEnd","responseEnd","viewportWidth","viewportHeight","systemIsStillCalibrated","events"
"49635","
    <div style=""left: calc(50% - 400px); width:800px;"">
      <h2>Intro</h2>
      <p>
        Bienvenidx a este experimento de eye tracking.
      </p>
  
      <p>
        Utilizando tu cámara web, vamos a intentar estimar dónde estás mirando
        en la pantalla. El experimento va durar aproximadamente 20 minutos.
        Incluye una pequeña introducción, un tutorial de unos 5 minutos y luego
        dos bloques de unos 8 minutos. Al final del primer bloque vas a tener la
        opción de cortar tempranamente. A lo largo del experimento también van a
        haber pausas para que puedas descansar la mirada.
        <br>
        El sistema que armamos es muy vulnerable a movimientos de cabeza, por lo 
        que es importante que te sientes cómodx.
      </p>
    </div>
    ","0","html-button-response","0","49638","0.0-0.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"237396","","{""anteojos"":""no"",""age"":""27"",""hand"":""derecha"",""hardware"":""Notebook. 16 gm ram. Placa onboard. Cpu: Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4 cores, 2 threads por core). La camara está arriba de la pantalla de la notebook.""}","survey-html-form","1","287041","0.0-1.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6095","
    <div style=""left: calc(50% - 400px); width:800px;"">
      <h2>Intro</h2>
      <p>
        En la próxima pantalla vamos a activar tu cámara web. Asegurate de
        tenerla correctamente enchufada y de otorgar los permisos cuando te 
        sean solicitados.
      </p>
    </div>
    ","0","html-button-response","2","293149","0.0-2.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","293443","0.0-3.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","events-tracking-start","4","293446","0.0-4.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","2022-05-26T16:20:34.528Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","webgazer-init-camera","5","415981","0.0-5.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","","5240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","6","442811","0.0-6.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19254","
      <div style=""left: calc(50% - 400px); width:800px;"">
        <h2>Tutorial</h2>
        <p>
          A lo largo de este experimento vas a realizar muchas repeticiones de
          tareas de prosacadas y antisacadas. Cada una de estas repeticiones
          dura menos de tres segundos. En cada una va a aparecer un estímulo
          central y luego uno lateral. Cada vez que aparezca el estímulo
          central, fijá la mirada en él hasta que desaparezca.
        </p>
      </div>","0","html-button-response","7","462068","0.0-7.0-0.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38407","
      <div style=""left: calc(50% - 400px); width:800px;"">
        <h2>Tutorial</h2>
        <h3>Prosacadas</h3>
        <p>
          En la tarea de prosacada tenés que mirar en la MISMA dirección en la 
          cual aparezca el estímulo lateral. Cuando el estímulo central sea un
          círculo (<span style=""font-size:28px;""><b>&#9711;</b></span>), estamos ante una tarea de prosacadas.
        </p>
        
  
  <style>
    .gif-instruction {
      border: 2px solid black;
      padding-right: 10px;
      padding-left: 10px;
      margin-bottom: 10px;
    }
    .gif-instruction > img {
      width: 70%;
      height: auto;
      display: block;
      margin-left: auto;
      margin-right: auto;
      border: 1px solid black;
    }
  </style>

  <div class=""gif-instruction"">
    <h4>Prosacada</h4>
    <img src=""prosaccade.gif"" alt=""prosaccade instructions"" /> 
    <p>Mirar hacia el mismo lado</p>
  </div>

      </div>","0","html-button-response","8","500480","0.0-7.0-1.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14776","
      <div style=""left: calc(50% - 400px); width:800px;"">
        <h2>Tutorial</h2>
        <h3>Antisacadas</h3>
        <p>
          En cambio, en la tarea de antisacadas tenés que mirar en la dirección
          OPUESTA en la cual aparece el estímulo lateral. Para estas tareas el
          estímulo central va ser una cruz (<span style=""font-size:48px;""><b>&#10799;</b></span>).
        </p>
        
  
  <style>
    .gif-instruction {
      border: 2px solid black;
      padding-right: 10px;
      padding-left: 10px;
      margin-bottom: 10px;
    }
    .gif-instruction > img {
      width: 70%;
      height: auto;
      display: block;
      margin-left: auto;
      margin-right: auto;
      border: 1px solid black;
    }
  </style>

  <div class=""gif-instruction"">
    <h4>Antisacada</h4>
    <img src=""antisaccade.gif"" alt=""antisaccade instructions"" /> 
    <p>Mirar hacia el lado contrario</p>
  </div>

      </div>","0","html-button-response","9","515259","0.0-7.0-2.0","95","1","2022-05-26 16:20:30","320e9a8f987a70eda8571679d8bb018a","","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0","","Firefox","100.0","Ubuntu","","9fed7887-29b5-429b-8b8a-9a40c08bba15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
